attack,defense,hp,image_urls,images,name,number,sp_atk,sp_def,speed,total,types
70,60,65,"https://img.pokemondb.net/artwork/persian.jpg,https://img.pokemondb.net/artwork/persian-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/persian.jpg', 'path': '053_persian.jpg', 'checksum': '5de64190568d12a2be1cf1d6012377ac', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/persian-alolan.jpg', 'path': '053_persian.jpg', 'checksum': '69230ab45cde138bb9b83a4046e12c56', 'status': 'downloaded'}]",persian,53,65,65,115,440,"Normal,Dark"
52,48,50,https://img.pokemondb.net/artwork/psyduck.jpg,"[{'url': 'https://img.pokemondb.net/artwork/psyduck.jpg', 'path': '054_psyduck.jpg', 'checksum': '6fdcbde05d46b7403c90645796964907', 'status': 'downloaded'}]",psyduck,54,65,65,55,335,Water
82,78,80,https://img.pokemondb.net/artwork/golduck.jpg,"[{'url': 'https://img.pokemondb.net/artwork/golduck.jpg', 'path': '055_golduck.jpg', 'checksum': '0918d35073498861cf8f84e49e88b433', 'status': 'downloaded'}]",golduck,55,95,95,85,515,Water
80,35,40,https://img.pokemondb.net/artwork/mankey.jpg,"[{'url': 'https://img.pokemondb.net/artwork/mankey.jpg', 'path': '056_mankey.jpg', 'checksum': '987b4af0e7a06aeb171ed211637e6ec7', 'status': 'downloaded'}]",mankey,56,35,35,70,295,Fighting
105,60,65,https://img.pokemondb.net/artwork/primeape.jpg,"[{'url': 'https://img.pokemondb.net/artwork/primeape.jpg', 'path': '057_primeape.jpg', 'checksum': 'b988240a6159b914c2000f1e9ab6d040', 'status': 'downloaded'}]",primeape,57,60,60,95,445,Fighting
70,45,55,"https://img.pokemondb.net/artwork/growlithe.jpg,https://img.pokemondb.net/artwork/growlithe-hisuian.jpg","[{'url': 'https://img.pokemondb.net/artwork/growlithe.jpg', 'path': '058_growlithe.jpg', 'checksum': 'c384e6db8556dcc0c17d22db593eb6a2', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/growlithe-hisuian.jpg', 'path': '058_growlithe.jpg', 'checksum': '902644b26f53e7a1aabbb5d2b426277e', 'status': 'downloaded'}]",growlithe,58,70,70,60,370,"Fire,Fire"
110,80,90,"https://img.pokemondb.net/artwork/arcanine.jpg,https://img.pokemondb.net/artwork/arcanine-hisuian.jpg","[{'url': 'https://img.pokemondb.net/artwork/arcanine.jpg', 'path': '059_arcanine.jpg', 'checksum': 'e80e3e43fd2787d36707329d3bdbd56e', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/arcanine-hisuian.jpg', 'path': '059_arcanine.jpg', 'checksum': '34e710a3c1d5e625ab19ba4d6095fc24', 'status': 'downloaded'}]",arcanine,59,100,100,95,575,"Fire,Fire"
50,40,40,https://img.pokemondb.net/artwork/poliwag.jpg,"[{'url': 'https://img.pokemondb.net/artwork/poliwag.jpg', 'path': '060_poliwag.jpg', 'checksum': 'd13e8fa2bd233d6906ab616ae783fb0d', 'status': 'downloaded'}]",poliwag,60,40,40,90,300,Water
65,65,65,https://img.pokemondb.net/artwork/poliwhirl.jpg,"[{'url': 'https://img.pokemondb.net/artwork/poliwhirl.jpg', 'path': '061_poliwhirl.jpg', 'checksum': 'ff31d86ea13a07ff7c08fa42b8d2fec1', 'status': 'downloaded'}]",poliwhirl,61,50,50,90,385,Water
95,95,90,https://img.pokemondb.net/artwork/poliwrath.jpg,"[{'url': 'https://img.pokemondb.net/artwork/poliwrath.jpg', 'path': '062_poliwrath.jpg', 'checksum': '8670de9c3d938f259d5f524a8db8ca3a', 'status': 'downloaded'}]",poliwrath,62,70,70,70,490,"Water,Fighting"
20,15,25,https://img.pokemondb.net/artwork/abra.jpg,"[{'url': 'https://img.pokemondb.net/artwork/abra.jpg', 'path': '063_abra.jpg', 'checksum': 'f18646cfd9349fbee9809294f6ea4166', 'status': 'downloaded'}]",abra,63,105,105,90,360,Psychic
35,30,40,https://img.pokemondb.net/artwork/kadabra.jpg,"[{'url': 'https://img.pokemondb.net/artwork/kadabra.jpg', 'path': '064_kadabra.jpg', 'checksum': 'f5693c38b983c1a9157f592a47b7d336', 'status': 'downloaded'}]",kadabra,64,120,120,105,450,Psychic
50,45,55,"https://img.pokemondb.net/artwork/alakazam.jpg,https://img.pokemondb.net/artwork/alakazam-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/alakazam.jpg', 'path': '065_alakazam.jpg', 'checksum': '93da9ce166a7fc66bcb35c5064fec09f', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/alakazam-mega.jpg', 'path': '065_alakazam.jpg', 'checksum': 'a0c8b7805fa4879cc1703f1eb8e68626', 'status': 'downloaded'}]",alakazam,65,135,135,120,540,"Psychic,Psychic"
80,50,70,https://img.pokemondb.net/artwork/machop.jpg,"[{'url': 'https://img.pokemondb.net/artwork/machop.jpg', 'path': '066_machop.jpg', 'checksum': 'd01125815c7fe2798d7cf54285e77e65', 'status': 'downloaded'}]",machop,66,35,35,35,305,Fighting
100,70,80,https://img.pokemondb.net/artwork/machoke.jpg,"[{'url': 'https://img.pokemondb.net/artwork/machoke.jpg', 'path': '067_machoke.jpg', 'checksum': '086292f8eb7623331f148e2dede493da', 'status': 'downloaded'}]",machoke,67,50,50,45,395,Fighting
130,80,90,https://img.pokemondb.net/artwork/machamp.jpg,"[{'url': 'https://img.pokemondb.net/artwork/machamp.jpg', 'path': '068_machamp.jpg', 'checksum': '8ccc58768ea89d45b551416504dfbe7c', 'status': 'downloaded'}]",machamp,68,65,65,55,485,Fighting
75,35,50,https://img.pokemondb.net/artwork/bellsprout.jpg,"[{'url': 'https://img.pokemondb.net/artwork/bellsprout.jpg', 'path': '069_bellsprout.jpg', 'checksum': '046fedfa4f7d7a1e22f94ce098235062', 'status': 'downloaded'}]",bellsprout,69,70,70,40,340,"Grass,Poison"
90,50,65,https://img.pokemondb.net/artwork/weepinbell.jpg,"[{'url': 'https://img.pokemondb.net/artwork/weepinbell.jpg', 'path': '070_weepinbell.jpg', 'checksum': '124341558664d427323f15fac8874536', 'status': 'downloaded'}]",weepinbell,70,85,85,55,430,"Grass,Poison"
105,65,80,https://img.pokemondb.net/artwork/victreebel.jpg,"[{'url': 'https://img.pokemondb.net/artwork/victreebel.jpg', 'path': '071_victreebel.jpg', 'checksum': 'ce9085ad957a927c804f8b11907f1131', 'status': 'downloaded'}]",victreebel,71,100,100,70,520,"Grass,Poison"
40,35,40,https://img.pokemondb.net/artwork/tentacool.jpg,"[{'url': 'https://img.pokemondb.net/artwork/tentacool.jpg', 'path': '072_tentacool.jpg', 'checksum': '54f4910cc6daac727f3aed225f6c462b', 'status': 'downloaded'}]",tentacool,72,50,50,70,285,"Water,Poison"
70,65,80,https://img.pokemondb.net/artwork/tentacruel.jpg,"[{'url': 'https://img.pokemondb.net/artwork/tentacruel.jpg', 'path': '073_tentacruel.jpg', 'checksum': '2ad283ad02cc9c9d7d0f63dcf0c879f9', 'status': 'downloaded'}]",tentacruel,73,80,80,100,475,"Water,Poison"
80,100,40,"https://img.pokemondb.net/artwork/geodude.jpg,https://img.pokemondb.net/artwork/geodude-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/geodude.jpg', 'path': '074_geodude.jpg', 'checksum': 'bca85e91734a7e0672b210c7eea81725', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/geodude-alolan.jpg', 'path': '074_geodude.jpg', 'checksum': '076a8cd40ab34f7d7da15d164c72fe3a', 'status': 'downloaded'}]",geodude,74,30,30,20,300,"Rock,Ground"
95,115,55,"https://img.pokemondb.net/artwork/graveler.jpg,https://img.pokemondb.net/artwork/graveler-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/graveler.jpg', 'path': '075_graveler.jpg', 'checksum': '69b382ecb645f32bd5f1e8fc468fb718', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/graveler-alolan.jpg', 'path': '075_graveler.jpg', 'checksum': '1e04b39536fbbea872372ccd3b034bf9', 'status': 'downloaded'}]",graveler,75,45,45,35,390,"Rock,Ground"
